X,Y,Au,Au_2,Ag,Al,As,Ba,Be,Ca,Cd,Ce,Co,Cr,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Si,Sr,Th,Ti,U,V,Y,Yb,Zn,Zr
675308,4159866,5,0,0.28,61786,8.8,411,1,37882,0.2,62,41,151,64,13333.33,16472,38,13,8771,1297,0.58,17457,43,853,49,194,1.34,9.7,0,351,10.7,12384,12.9,591,14,2.8,269,67
675339,4160018,5,0,0.29,77717,12.2,606,1.5,46196,0.25,58,23,112,64,75970,27652,32,18,9941,990,0.77,17109,44,844,29,247,1.33,11,0,344,13.7,7558,3.75,254,19,2.2,133,85
675657,4159185,5,0,0.29,84845,9.9,611,1.4,46585,0.22,56,13,52,43,39863,24927,30,16,9381,685,0.71,23494,29,853,16,246,1.18,10.1,0,465,11.8,5141,3.75,122,18,1.7,71,79
675675,4159279,5,0,0.27,83097,7.9,571,1.5,53474,0.23,61,14,56,55,45822,26976,34,16,9212,781,0.76,21729,27,1007,22,241,1,10.1,0,436,14.3,5473,7.2,139,18,1.8,83,74
676466,4160325,5,0,0.32,75793,10.1,474,1.3,59463,0.23,55,19,82,60,63546,20393,30,17,9557,896,0.68,17512,36,767,28,177,1.12,9.8,0,377,14.8,6650,9.9,203,16,1.8,117,68
676228,4164172,5,0,0.28,76733,10.6,539,1.5,52969,0.24,59,15,79,54,42775,26198,30,21,10723,821,0.77,16114,43,1051,17,707,1.32,10.5,0,339,11.2,4866,3.75,122,19,1.8,75,89
676939,4161885,5,0,0.29,69276,7.1,516,1.4,57036,0.22,61,13,69,65,49697,27898,34,16,8893,653,0.7,16465,28,1311,22,727,1.16,9.4,0,309,15.8,5115,6.4,147,19,1.9,86,68
676882,4161787,5,0,0.25,81235,11.1,570,1.4,49914,0.28,56,17,69,53,47189,25011,29,18,10268,982,0.69,19639,36,805,23,217,1.24,10.5,0,402,11.6,5245,3.75,146,18,1.8,95,70
676443,4160429,5,0,0.28,75394,9.7,546,1.4,47577,0.22,59,13,53,47,46787,26583,32,15,8534,779,0.75,19373,25,973,21,254,1.05,9.2,0,366,14.1,5288,3.75,140,17,1.8,83,65
676104,4159963,10,1,0.34,75758,6.7,495,1.3,42043,0.22,52,20,77,80,66376,20325,28,17,9359,873,0.67,22007,37,708,24,155,1.2,9,0,452,11,6830,5.2,226,13,1.7,122,53
675680,4158911,6,1,0.22,75028,17.2,561,1.4,43305,0.23,45,12,43,45,34343,23129,23,18,8792,684,0.75,24239,29,629,17,205,1.13,8,0,492,10.4,3923,3.75,97,13,1.3,69,51
675328,4158487,5,0,0.29,84209,8.2,549,1.5,34110,0.21,47,13,52,43,33736,22498,24,19,9879,876,0.7,23546,33,754,17,194,1.11,9.5,0,481,9.7,4007,3.75,92,14,1.4,71,59
675336,4158043,5,0,0.33,92218,8.3,499,1.5,36062,0.23,50,12,39,38,31445,19043,26,19,10249,611,0.74,24010,30,708,18,177,1.16,10,0,516,9.7,3600,3.75,82,14,1.3,66,66
675358,4157702,5,0,0.26,13333.33,6.9,528,1.3,35919,0.22,45,9,27,31,28784,20842,25,16,7357,517,0.68,28255,19,737,13,187,1.11,8.1,0,623,10.1,3481,3.75,82,13,1.2,58,59
675406,4157415,6,1,0.28,86392,8.3,592,1.4,51212,0.24,52,11,38,38,38186,26126,28,16,8711,684,0.7,24256,23,824,18,497,1.08,9.2,0,490,11.8,4512,3.75,113,16,1.6,71,69
676088,4157715,5,0,0.29,92102,6.7,555,1.4,39826,0.21,53,14,59,57,45227,21750,28,19,9908,820,0.66,24300,34,730,22,289,1.12,10.4,0,529,11.6,5128,3.75,142,16,1.6,90,71
675564,4157367,5,0,0.31,87886,8.6,532,1.3,41657,0.23,53,14,66,38,44182,20774,28,18,10032,862,0.74,23613,33,828,21,365,1.03,10,0,509,10.9,5242,3.75,137,15,1.6,88,68
675475,4156844,5,0,0.26,85524,7,613,1.4,47954,0.23,55,15,52,43,46649,27611,30,16,8892,750,0.66,24290,26,890,18,316,1.01,9.3,0,469,14.8,5065,3.75,148,16,1.7,88,66
674864,4156575,6,1,0.26,90722,6.8,545,1.3,53939,0.25,60,15,62,84,42486,18537,31,20,10902,998,0.73,22571,34,765,20,449,1.1,10.1,0,511,11.6,5038,3.75,133,16,1.6,85,70
674654,4156538,5,0,0.27,88220,8.4,516,1.5,61888,0.22,54,13,54,85,34845,17993,28,24,12930,649,0.67,18212,43,650,21,311,1.05,11.1,0,456,11.1,3836,5.2,92,17,1.6,73,81
675752,4154969,5,0,0.31,88767,6.4,527,1.3,50672,0.21,54,13,62,43,44377,21537,30,18,9871,678,0.68,23094,30,827,18,321,1.08,10.3,0,498,11.3,5664,7.1,141,16,1.7,83,71
675491,4155130,5,0,0.3,91059,9.7,521,1.3,46407,0.24,53,13,54,61,33461,18165,28,21,9523,656,0.7,23774,36,594,15,204,0.91,10.1,0,516,10.1,4091,3.75,93,15,1.5,69,73
675475,4155291,5,0,0.28,83379,5.5,503,1.3,49715,0.24,51,15,54,47,38282,19761,27,20,11317,982,0.7,18489,36,793,18,481,1.08,10.1,0,422,10.1,4565,3.75,110,15,1.5,85,70
675507,4155369,5,0,0.27,77568,7.2,536,1.4,45273,0.24,50,15,66,96,45886,22238,26,18,9609,717,0.65,22606,32,748,21,214,1.17,9.4,0,461,10.8,5607,5.6,141,15,1.6,82,59
675750,4154383,5,0,0.29,82843,7,494,1.3,49292,0.23,52,15,65,47,39027,18400,26,20,11648,740,0.6,17220,40,743,19,335,1.08,10.5,0,420,10.2,4766,3.75,116,16,1.5,88,75
675911,4154503,5,0,0.26,85177,8.6,525,1.5,51827,0.23,52,14,52,62,37054,21690,27,20,13406,815,0.67,15798,38,768,19,313,1.12,10.9,0,372,10.8,4422,3.75,107,17,1.6,98,71
675968,4153592,5,0,0.28,75872,5.8,481,1.2,51635,0.24,57,23,120,43,83283,19795,33,17,9661,702,0.59,18741,38,938,27,396,1.3,10.7,0,424,14.7,9321,9.7,299,16,2.1,142,75
676177,4153466,5,0,0.28,83173,7.3,544,1.4,50404,0.25,55,14,57,47,41056,22091,29,18,11265,801,0.59,16748,34,706,21,157,1.06,10.7,0,356,11.6,5308,3.75,129,17,1.7,87,76
676211,4153250,5,0,0.32,86898,4.9,521,1.3,39911,0.24,55,15,65,52,40448,21078,29,20,12328,866,0.75,17764,39,884,17,285,1.17,11.1,0,420,11.1,5333,3.75,125,17,1.7,86,78
676383,4152822,5,0,0.28,73487,8.6,513,1.2,51341,0.24,56,23,105,40,75996,19515,30,16,10612,880,0.74,15219,44,798,32,432,1.27,10.5,0,356,11.5,8795,5.5,299,16,2.1,130,70
676775,4152434,5,0,0.25,76125,7.4,562,1.4,59706,0.24,58,17,67,43,52276,22864,31,16,11375,923,0.64,14051,34,810,25,190,1.12,11.2,0,335,12.5,6804,3.75,187,19,2,104,75
676587,4152130,6,1,0.28,79146,10.9,544,1.2,58257,0.24,52,14,62,57,38403,23706,27,19,10847,651,0.69,17657,34,1148,21,2658,1.03,9.9,0,427,11.3,4687,3.75,118,16,1.6,86,69
676519,4152290,5,0,0.24,81553,6.1,515,1.2,48072,0.22,57,17,81,41,54620,20860,30,17,9781,864,0.76,20860,33,831,23,264,1.2,10.3,0,452,11.3,6924,3.75,181,17,1.8,94,72
677541,4152262,5,0,0.24,81276,5.7,571,1.4,51029,0.23,52,13,55,50,34762,22714,27,19,12720,801,0.6,14025,36,664,20,358,1.02,9.9,0,341,11.3,4196,3.75,101,17,1.6,80,71
677135,4153741,5,0,0.24,83218,4.8,633,1.5,45340,0.25,57,15,66,47,37739,21350,27,22,16767,772,0.7,12317,43,701,19,185,1.01,11.7,0,346,13.3,4607,3.75,110,17,1.6,86,73
676653,4155643,5,0,0.24,89864,5.8,493,1.4,36947,0.21,53,13,58,42,33337,20320,28,20,11228,661,0.65,20695,36,726,16,264,1.1,9.9,0,455,9.9,4011,3.75,94,16,1.5,71,72
677885,4162543,5,0,0.3,83569,15.4,574,2.1,25192,0.24,84,18,111,57,42505,26560,42,30,12510,1040,0.72,13260,63,681,27,307,1.06,14.1,0,228,13.3,4421,3.75,113,27,2.3,86,110
677893,4162146,5,0,0.33,72747,12.1,494,1.6,60371,0.24,67,17,95,82,48408,21839,33,27,12608,944,0.73,9428,50,780,28,308,1.13,13.5,0,241,11.6,4492,3.75,135,23,2.1,80,99
677831,4161810,7,1,0.28,75002,9.4,474,1.4,56699,0.26,61,17,78,79,42106,22262,30,24,12699,1058,0.62,12113,42,1013,38,353,1.39,13.6,0,297,13,4121,3.75,127,20,1.9,93,81
677690,4160765,5,0,0.25,78479,7.7,396,1.2,99284,0.22,49,11,45,42,30139,14928,27,20,10951,543,0.65,14798,31,559,14,203,0.93,9.3,0,393,8.7,3178,5.4,80,15,1.4,57,67
677617,4160854,6,1,0.27,68779,7.7,404,1.2,94318,0.25,51,15,83,43,46469,18107,27,21,11578,714,0.66,9845,42,708,22,408,1.17,10.5,0,289,10.4,4367,9.3,134,17,1.8,87,78
677559,4159622,5,0,0.29,85733,12.8,497,1.4,56574,0.24,55,15,80,41,39551,21317,28,22,11267,781,0.73,17484,45,658,18,204,1.04,11.2,0,378,10.8,4402,3.75,111,18,1.8,81,79
677577,4159988,5,0,0.31,87313,8.5,503,1.5,59687,0.23,56,15,66,47,38995,20554,30,22,11180,786,0.66,18740,41,654,22,194,1.06,11,0,400,11.1,4297,3.75,108,17,1.7,83,78
677743,4158933,6,1,0.24,84172,9.4,490,1.4,56924,0.23,55,16,74,49,45482,20430,29,21,10325,762,0.67,18856,43,544,18,182,1.04,10.5,0,403,11,4699,3.75,137,17,1.7,89,72
677960,4158641,291,1,0.39,60827,6.9,402,1.1,49526,0.23,51,36,156,68,13333.33,17486,30,16,8692,1159,0.65,13873,48,736,47,165,1.26,9.8,0,327,12.7,10435,18.4,508,15,2.7,230,70
678057,4158658,6,1,0.28,83271,9.3,458,1.9,37483,0.23,59,15,78,49,43229,25615,35,23,11181,729,0.7,17393,50,672,21,189,1.06,10.8,0,349,14,4568,3.75,119,19,1.9,89,76
